學號,性別,分發宿舍,分發寢室,分發床號
40984203I,女,女一舍,5330,3
40984244I,女,女一舍,5330,4
40984247I,女,女一舍,5330,5
40984248I,女,女一舍,5330,6
40960027T,女,女一舍,5331,1
40960019T,女,女一舍,5331,2
40972004H,女,女一舍,5331,3
40960038T,女,女一舍,5331,4
40957007O,女,女一舍,5331,5
40960022T,女,女一舍,5331,6
40923143L,女,女一舍,5332,1
41023218L,女,女一舍,5332,2
41023120L,女,女一舍,5332,3
41083057I,女,女一舍,5332,4
41083058I,女,女一舍,5332,5
41023220L,女,女一舍,5332,6
41021146L,女,女一舍,5333,1
41021242L,女,女一舍,5333,2
41021138L,女,女一舍,5333,3
41021141L,女,女一舍,5333,4
41021240L,女,女一舍,5333,5
41021219L,女,女一舍,5333,6
41021120L,女,女一舍,5334,1
41021244L,女,女一舍,5334,2
41021105L,女,女一舍,5334,3
41021204L,女,女一舍,5334,4
41021203L,女,女一舍,5334,5
41021112L,女,女一舍,5334,6
41021116L,女,女一舍,5335,1
41021115L,女,女一舍,5335,2
41021114L,女,女一舍,5335,3
41021216L,女,女一舍,5335,4
41021211L,女,女一舍,5335,5
41021118L,女,女一舍,5335,6
41022047L,女,女一舍,5336,1
41022003L,女,女一舍,5336,2
41022006L,女,女一舍,5336,3
41022036L,女,女一舍,5336,4
41022030L,女,女一舍,5336,5
41040213S,女,女一舍,5336,6
40860221T,女,女一舍,5337,1
40800231E,女,女一舍,5337,2
40860224T,女,女一舍,5337,3
40809041E,女,女一舍,5337,4
40809042E,女,女一舍,5337,5
40809023E,女,女一舍,5337,6
41011901E,女,女一舍,5338,1
41011004E,女,女一舍,5338,2
41011011E,女,女一舍,5338,3
41005004E,女,女一舍,5338,4
41005002E,女,女一舍,5338,5
41005025E,女,女一舍,5338,6
40920212L,女,女一舍,5341,1
40920213L,女,女一舍,5341,2
40920204L,女,女一舍,5341,3
40920215L,女,女一舍,5341,4
40906220E,女,女一舍,5341,5
40920231L,女,女一舍,5341,6
41006239E,女,女一舍,5342,1
41006235E,女,女一舍,5342,2
41006234E,女,女一舍,5342,3
41006142E,女,女一舍,5342,4
41006126E,女,女一舍,5342,5
41006129E,女,女一舍,5342,6
41084266I,女,女一舍,5343,1
41084224I,女,女一舍,5343,2
41084215I,女,女一舍,5343,3
41084249I,女,女一舍,5343,4
41084253I,女,女一舍,5343,5
41084226I,女,女一舍,5343,6
41090206M,女,女一舍,5344,1
41021218L,女,女一舍,5344,2
41090140M,女,女一舍,5344,3
41090202M,女,女一舍,5344,4
41021113L,女,女一舍,5344,5
41090106M,女,女一舍,5344,6
40960003T,女,女一舍,5345,1
40960007T,女,女一舍,5345,2
40960008T,女,女一舍,5345,3
40960031T,女,女一舍,5345,4
40960036T,女,女一舍,5345,5
40957031O,女,女一舍,5345,6
41009036E,女,女一舍,5346,1
41009003E,女,女一舍,5346,2
41009004E,女,女一舍,5346,3
41009018E,女,女一舍,5346,4
41009016E,女,女一舍,5346,5
41009012E,女,女一舍,5346,6
41001039E,女,女一舍,5347,1
41001038E,女,女一舍,5347,2
41001037E,女,女一舍,5347,3
41001036E,女,女一舍,5347,4
41001029E,女,女一舍,5347,5
41001005E,女,女一舍,5347,6
40920216L,女,女一舍,5348,1
40943105S,女,女一舍,5348,2
40900215E,女,女一舍,5348,3
40920218L,女,女一舍,5348,4
40944006S,女,女一舍,5348,5
40920205L,女,女一舍,5348,6
41020105L,女,女一舍,5349,1
41020204L,女,女一舍,5349,2
41020229L,女,女一舍,5349,3
41020306L,女,女一舍,5349,4
41020206L,女,女一舍,5349,5
41020305L,女,女一舍,5349,6
40990112M,女,女一舍,5350,1
40990111M,女,女一舍,5350,2
40990109M,女,女一舍,5350,3
40990107M,女,女一舍,5350,4
40990106M,女,女一舍,5350,5
40990105M,女,女一舍,5350,6
41013024E,女,女一舍,5352,1
41013020E,女,女一舍,5352,2
41013021E,女,女一舍,5352,3
41013004E,女,女一舍,5352,4
41013006E,女,女一舍,5352,5
41013007E,女,女一舍,5352,6
41006203E,女,女一舍,5353,1
41006902E,女,女一舍,5353,2
41006120E,女,女一舍,5353,3
41006107E,女,女一舍,5353,4
41006207E,女,女一舍,5353,5
41006106E,女,女一舍,5353,6
41006229E,女,女一舍,5354,1
41006231E,女,女一舍,5354,2
41006134E,女,女一舍,5354,3
40930067A,女,女一舍,5354,4
41030067A,女,女一舍,5354,5
41030049A,女,女一舍,5354,6
41005012E,女,女一舍,5355,1
41005044E,女,女一舍,5355,2
41005008E,女,女一舍,5355,3
41005003E,女,女一舍,5355,4
41005009E,女,女一舍,5355,5
41005022E,女,女一舍,5355,6
40960009T,女,女一舍,5401,1
40960011T,女,女一舍,5401,2
40960015T,女,女一舍,5401,3
40960026T,女,女一舍,5401,4
40960025T,女,女一舍,5401,5
40805025E,女,女一舍,5401,6
40909015E,女,女一舍,5402,1
40909016E,女,女一舍,5402,2
40909017E,女,女一舍,5402,3
40909018E,女,女一舍,5402,4
40909021E,女,女一舍,5402,5
40909022E,女,女一舍,5402,6
41006217E,女,女一舍,5403,1
41006216E,女,女一舍,5403,2
41006220E,女,女一舍,5403,3
41006116E,女,女一舍,5403,4
41006113E,女,女一舍,5403,5
41006219E,女,女一舍,5403,6
41060011T,女,女一舍,5404,1
41084104I,女,女一舍,5404,2
41021243L,女,女一舍,5404,3
41021140L,女,女一舍,5404,4
41021139L,女,女一舍,5404,5
41021137L,女,女一舍,5404,6
40930003A,女,女一舍,5405,1
40930011A,女,女一舍,5405,2
40930024A,女,女一舍,5405,3
40930037A,女,女一舍,5405,4
40620141L,女,女一舍,5405,5
40930002A,女,女一舍,5405,6
40920203L,女,女一舍,5406,1
40920137L,女,女一舍,5406,2
40920117L,女,女一舍,5406,3
40920107L,女,女一舍,5406,4
40920114L,女,女一舍,5406,5
40911009E,女,女一舍,5406,6
41084230I,女,女一舍,5407,1
41084234I,女,女一舍,5407,2
41084244I,女,女一舍,5407,3
41084246I,女,女一舍,5407,4
41084245I,女,女一舍,5407,5
41084237I,女,女一舍,5407,6
41084222I,女,女一舍,5408,1
41084220I,女,女一舍,5408,2
41084212I,女,女一舍,5408,3
41084221I,女,女一舍,5408,4
41084213I,女,女一舍,5408,5
41084216I,女,女一舍,5408,6
41000103E,女,女一舍,5409,1
41000133E,女,女一舍,5409,2
41000129E,女,女一舍,5409,3
41000127E,女,女一舍,5409,4
41000210E,女,女一舍,5409,5
41000203E,女,女一舍,5409,6
41013013E,女,女一舍,5410,1
41013014E,女,女一舍,5410,2
41013015E,女,女一舍,5410,3
41000112E,女,女一舍,5410,4
41000115E,女,女一舍,5410,5
41000114E,女,女一舍,5410,6
41020131L,女,女一舍,5411,1
41020222L,女,女一舍,5411,2
41072004H,女,女一舍,5411,3
